subject,topic,Title,question,image,option1,option2,option3,option4,option5,explain,correct,selected,answered,answeredCorrectly
Physiology & Anatomy,Physiology,Sepsis 1,"A 29 year old IVDU patient is being treated for sepsis. He has been intubated, ventilated and brought to the intensive care unit. He is tachycardic, hypotensive with a haemoglobin of 95. His COVID 19 lateral flow and swab was negative. The arterial saturations are 94% and mixed venous saturations 60%. What is the next most appropriate step in management?",https://i.imgur.com/9d5noxy.jpg,Crystalloid bolus,Increase FiO2,Blood Transfusion,Noradrenaline Infusion,Dobutamine Infusion ,A septic patient who is hypotensive and tachycardic has signs of poor perfusion. The most appropriate next step would be to administer a fluid bolus and review the result. The other options may be of benefit to the patient but would not be appropriate as the next step. Vasopressors like noradrenaline and inotropes like dobutamine may be necessary if the hypotension and tachycardia persist despite adequate fluid resuscitation. A blood transfusion is not indicated although it would increase oxygen delivery to the tissues. Increasing FiO2 would increase oxygen delivery to the tissues but would not improve perfusion which is probably the main issue here.,Crystalloid bolus,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Spinal Cord 1,A 50 year old male has sustained a hyperextension injury to the neck during a road traffic accident. He has a GCS of 15/15 but is complaining of pain in his neck. On examination he has reduced motor function in his upper limbs bilaterally but motor function is preserved in the lower limbs.,https://i.imgur.com/YuIUFGE.jpg,Hemisection of the cord,Central Cord Syndrome,Intramedullary spinal cord tumour,Syringomyelia,Brown-Sequard,This patient a history of trauma causing an incomplete spinal cord injury affecting the upper limbs. This pattern of motor loss is seen in Central Cord Syndrome which is the most common incomplete cord injury. The cord has been pinched in between the disc anteriorly and a hypertrophied ligamentum flavum posteriorly. Syringomyelia and a tumour may present in the same way but the history of trauma suggests central cord syndrome. Brown Sequard presents with partial sensory loss below the level of the lesion and hemisection of the cord causes loss of ipsilateral motor function below the level of the lesion.,Central Cord Syndrome,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Spinal Cord 2,A 22 year old male has been in a motorcycle accident no has a flaccid paralysis from C7 down. After being in hospital for 14 days he now requires a general anaesthetic. Suxamethonium is contraindicated for what reason?,,Acquired pseudocholinesterase deficiency,Muscle wasting increases the risk of rhabdomyolysis,Spinal cord upregulation increases the risk dangerous fasciculations,Extra-junctional muscarinic receptors cause dangerous acidosis,Extra-junctional acetylcholine  receptors increase the risk of hyperkalaemia,Spinal cord injuries will lead to extra-junctional nicotinic receptors to proliferate across muscle membrane over 10 days. On administration of Suxamethonium potassium will flood into the plasma and dangerously increase the concentration and risk cardiovascular arrhythmias.,Extra-junctional acetylcholine  receptors increase the risk of hyperkalaemia,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Spinal Cord 3,A 44 year old male is brought into A&E resus after sustaining an injury to T2 after a bicycle accident. He is unable to move his lower limbs. Which of the following describes a lower motor neurone lesion?,,"Paraesthesia, fasciculations","Muscle wasting, spastic paralysis","hyperreflexia, anaesthesia","Spastic paralysis, hyperreflexia","Hypotonia, paralysis, hyporeflexia","A lower motor neurone lesion is caused by damage to the motor neuron distal to the ventral root. The signs are hypotonia, paralysis, hyporeflexia and fasciculations. An upper motor neurone lesion occurs above the anterior horn of the spinal cord and is characterised by hypertonia, paralysis, hyperreflexia. In the immediate hours after spinal cord injury there will be flaccid paralysis initially gradually shifting to spastic paralysis over a few days.","Hypotonia, paralysis, hyporeflexia",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Spinal Cord 4,A 44 year old male is brought into A&E resus after sustaining an injury to T2 after a bicycle accident. He is unable to move his lower limbs. His heart rate is 45 and his blood pressure is 95/45. What is the cause of the cardiovascular compromise?,,Haemorrhage,Spinal shock syndrome,Subarachnoid haemorrhage,Heart block,Sepsis,The mechanism of injury and the signs found on examination indicate a possible transection of the spinal cord. The bradycardia and hypotension is likely due to the loss of sympathetic activity from the thoracolumbar nerves. This condition is seen following transection of the cord at the cervical or thoracic region.,Spinal shock syndrome,TRUE,FALSE,FALSE
Pharmacology & Statistics,Statistics,Statistics 1,You have decided to compare the invasive a non-invasive blood pressure readings for all patients in intensive care. Which is the most appropriate statistical test to compare the values?,,Fisher Exact Test,Mann Whitney,Student Unpaired t-test,Chi-squared analysis,Student Paired t-test,This data is likely to be normally distributed and is comparing two tests on the same group of patients. The significance of the correlation between the two groups (invasive and non invasive) is best assessed using a Students paired t test.,Student Paired t-test,TRUE,FALSE,FALSE
Pharmacology & Statistics,Statistics,Statistics 2,Which of the following is the best definition of sensitivity when applied to medical statistics?,https://i.imgur.com/8ed7e92.jpg,The pre-test probability of an individual testing positive,The proportion of true negatives that are correctly identified by the test,The probability that a subject with a positive test result truly has the disease,A measure of structural bias within a study/experiment,The proportion of true positives which are correctly identified by the test,Sensitivity is the proportion of true positives which are correctly identified by the test. Specificity is the proportion of true negatives correctly identified by the test. ,The proportion of true positives which are correctly identified by the test,TRUE,FALSE,FALSE
Pharmacology & Statistics,Statistics,Statistics 3,Which of the following is the best definition of positive-predictive value with regard to medical statistics?,https://i.imgur.com/8ed7e92.jpg,The probability that a subject with a positive test result truly has the disease,The proportion of true positives which are correctly identified by the test,The pre-test probability of an individual testing positive,The increased chance of a patient having one disease if they test positive for a different and unrelated disease,The proportion of true negatives that are correctly identified by the test,Positive Predictive Value is the  probability that a subject with a positive test result truly has the disease. ,The probability that a subject with a positive test result truly has the disease,TRUE,FALSE,FALSE
Pharmacology & Statistics,Statistics,Statistics 4,Which of the following statements is most correct regarding statistics?,,Nominal data and Ordinal data are forms of quantitative data,Kelvin temperature scale is a form of interval data,ABO blood group is a form of ordinal data,Pain score (none/mild/moderate/severe) is a form of  nominal data,Interval and ratio data are forms of qualitative data,"There are 4 ways to describe numerical data: Nominal , Ordinal, Interval and Ratio. Kelvin temperature scale is an example of interval data. ABO is a type of nominal data. Pain scores are a type of ordinal data. Nominal and Ordinal are qualitative while Interval and Ratio data are quantitative.",Kelvin temperature scale is a form of interval data,TRUE,FALSE,FALSE
Pharmacology & Statistics,Stats,Statistics 5,Which of the following is the higher form of evidence according to the Cochrane Collaboration?,,Randomised Controlled Trial,Case report,Cohort Studies,Systematic Review,Case-control studies,The forms of evidence are ranked accordingly: 1) Systematic Review 2) RCT 3) Cohort Study 4) Case-control study 5) Cross sectional Surveys 6) Case reports,Systematic Review,TRUE,FALSE,FALSE
Pharmacology & Statistics,Statistics,Statistics 6,Which of the following is most correct regarding exponential functions?,https://i.imgur.com/PyFpVPk.jpg,The half life changes over time,One time constant is the time taken for the quantity to fall to half its original value,After 3 half lives the remaining value will be close to zero,The rate of change is proportional to the value ,The time constant is twice as long as the half life,The rate of change is proportional to the value. The half life is the time taken for the value to halve. The time constant is the time taken for the value to become 1/e of it's original value which is 37%. An exponentially declining function reaches close to zero after 5 half lives or 3 time constants.,The rate of change is proportional to the value ,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Stress Response 1,Which of the following accurately describes the stress response?,,"ACTH decreases, Cortisol increases and Aldosterone decreases","ACTH Increases, GH increases, Cortisol Increases and Aldosterone increases","Cortisol Increases, TSH increases and Glucagon increases","ACTH increases, Cortisol increases, Insulin increases and Thyroxine increases",There is a reduction in secretion of all hormones associated with the hypothalamo-pituitary-adrenal ,"The stress response is a series of hormonal and metabolic changes in response to tissue damage that has been extensively studied in the context of response to surgery. There is increased catabolism leading to substrate mobilisation, muscle breakdown and salt and water retention. There is increased secretion of most hormones except insulin, testosterone and T3. The pituitary secretes GH, ACTH, Prolactin and vasopressin. The pancreas secretes glucagon. The Adrenal gland secretes cortisol. aldosterone and catecholamines.","ACTH Increases, GH increases, Cortisol Increases and Aldosterone increases",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Stress Response 2,Which of the following is most likely to occur in the body as part of the acute phase response?,https://i.imgur.com/62Xm3oH.jpg,Serum fibrinogen levels will increase,There is a decrease in caeruloplasmin,There is an increase in serum iron concentration,The concentration of C Reactive Protein decreases,There is an increase in transferrin and albumin,"Changes that occur in the acute phase are: Fever, Granulocytosis, Increase in acute phase proteins (CRP, Fibrinogen, A2 macroglobulin), Increase in caeruloplasmin but decrease in transferrin and albumin, Increased copper but decreased zinc and iron.",Serum fibrinogen levels will increase,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Stress Response 3,Which of the following is correct about the stress response to surgery?,https://i.imgur.com/G9jxuL9.jpg,Clonidine has no effect on the stress response to anaesthesia,Spinal anaesthesia has not been shown to reduce the stress response to surgery,The stress response to lower abdominal surgery can be prevented be the administration of Fentanyl 15 mcg/kg prior to induction of anaesthesia,Patients undergoing regional anaesthesia have a higher rate of thromboembolic event,Midazolam has no effect on cortisol and glucose levels,High dose opioids like Fentanyl 15mcg/kg blunt the stress response to surgery. Regional anaesthesia can significantly reduce the stress response to surgery by blocking the afferent neurones to the hypothalamus and the efferent neurones to the adrenal cortex and medulla. Opioids can abolish the stress response at high doses but morphine or fentanyl would cause a prolonged apnoea post-operatively. Clonidine and Dexmedetomidine are both Alpha 2 adrenoceptor agonists that can significantly reduce the stress response. Patient undergoing regional anaesthesia have a reduced risk of thromboembolic events due to earlier mobilisation. Midazolam is a benzodiazepine that has been shown to reduce the stress response to surgery.,The stress response to lower abdominal surgery can be prevented be the administration of Fentanyl 15 mcg/kg prior to induction of anaesthesia,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Thyroid 1,A 47 year old female has been diagnosed with hot thyroid nodule and hyperthyroidism. She has been booked for a total thyroidectomy in 4 weeks but is still experiencing symptoms of hyperthyroidism. What is the most important medication to commence in the pre-operative period?,,Carbimazole,Propranolol,T3,T4,Iodine,Propranolol is the most important medication to prevent the symptoms of hyperthyroidism in the peri-operative period. It also reduces the risk of hyperthyroid storm.,Propranolol,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,TIVA 1,You have decided to use TIVA. Which of the following is most correct regarding TIVA?,https://i.imgur.com/OVmeh02.jpg,Propofol and Remifentanil should be mixed in the same syringe for TIVA,The Marsh propofol model is most accurate for those with a BMI over 35,Opioids reduce the concentration of propofol required to cause loss of consciousness,TIVA is not effective in preventing Post-operative Nausea and Vomiting,The Minto model is the most accurate model for propofol TIVA,"Many analgesic and sedative medications reduce the amount of propofol required to cause loss of consciousness. The Marsh and Schnider models are not suitable for morbidly obese patients, and further monitoring and caution is required. The Minto model is used for Remifentanil. Propofol and Remifentanil are commonly mixed in the same syringe, although this practice is not recommended.",Opioids reduce the concentration of propofol required to cause loss of consciousness,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Transfer 1,"The 20 year old man with a traumatic brain injury is transferred to a neurosurgical centre 90 minutes away, he is intubated and being ventilated with an oxygen consumption of 10L/min, the ambient temperature is 20oC. What is the minimum number of full CD cylinders that would be needed for transfer?",https://i.imgur.com/UEnjGT8.jpg,1 cylinder,2 cylinders,4 cylinders,5 cylinders,3 cylinders,The full CD cylinder contains 460 litres of oxygen at a pressure of 230 bar. The oxygen consumption for the journey is 900L so two cylinders would be the minimum recommendation. It is commonly understood that you should take at least double the oxygen that you require as a safety measure.,2 cylinders,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Urology 1,A 76 year old male is undergoing a Trans-urethral Resection of the Prostate (TURP) under spinal anaesthesia. After 35 minutes he becomes disorientated and starts shouting incoherently. His blood pressure has fallen from 145/90 to 100/60 and his heart rate has decreased from 90 to 50. What is the most likely cause of this condition?,,TURP syndrome,Urinary Tract Infection,Glycine toxicity,Hyponatraemia,Haemorrhage,"TURP syndrome is a common syndrome occurring after 15 minutes of starting a TURP until 24 hours later. It is caused by absorption of the irrigation fluid used to distend the bladder during the operation, which causes fluid and electrolyte shifts affecting the cardiovascular and neurological systems. It may cause pulmonary oedema, hypotension, bradycardia, agitation, restlessness and coma. It is more commonly associated when Glycine is used as the irrigation fluid than saline.",TURP syndrome,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Urology 2,A 76 year old male has undergone a laparoscopic prostatectomy. After 20 minutes in recovery  minutes he becomes disorientated and starts shouting. He has visual acuity of 0 on examination and is complaining of blindness. What is the most likely cause of this condition?,,TURP syndrome,Hyponatraemia,Intraoperative Myocardial infarction,Urinary tract infection,Head down position,Loss of vision is a well known complication of head down (trendelenburg) position which is necessary for laparoscopic prostatectomy. The operation can take around 3 hours so prolonged head down increases the hydrostatic pressure on the head and this can lead to damage to the optic nerve. This can be avoided by taking intermittent breaks an levelling to neutral.,Head down position,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Uterotonics 1,A 22 year old is undergoing a caesarean section and the obstetrician has asked for uterine relaxation. Which of the following drugs will act to relax the uterus?,,Tranexamic Acid,Oxytocin,Carboprost,GTN spray,Rocuronium,GTN acts as a potent tocolytic within seconds of spray under the tongue. Salbutamol would be second line and acts on the adrenoceptors in the uterus to cause relaxation. Oxytocin and Carboprost are uterotonics. Rocuronium is a muscle relaxant which has no effect on uterine tone. ,GTN spray,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Ventilators 1,Which ventilator circuit is most efficient for spontaneous ventilation?,https://i.imgur.com/znCB387.jpg,Circle,Mapleson E,Mapleson A,Mapleson F,Mapleson D,The circle circuit is the most efficient circuit for anaesthesia. Prior to introduction of the circle circuit the Mapleson A is most efficient for spontaneous breathing while the Mapleson D is the most efficient for controlled ventilation. ,Circle,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Ventilators 2,What is the ideal arrangement of a circle breathing circuit?,https://i.imgur.com/znCB387.jpg,"Vapouriser on inspiratory limb, soda lime and reservoir bag on the expiratory limb","Soda lime, reservoir bag and vapouriser on the inspiratory limb ","Soda lime on the expiratory limb, reservoir bag on the inspiratory limb before the unidirectional valve ","Reservoir bag on the inspiratory limb, soda lime on the expiratory limb","Vapouriser and soda lime on the expiratory limb, reservoir on the inspiratory limb ","The circle circuit should contain the fresh gas flow and reservoir bag on the inspiratory limb, and the APL valve and soda lime on the expiratory limb. There should be a one-way valve on the inspiratory limb and expiratory limb of the circuit.","Soda lime on the expiratory limb, reservoir bag on the inspiratory limb before the unidirectional valve ",TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Volatiles 1,"An odourless anaesthetic has the following properties: blood:gas partition coefficient of 0.115, MAC of 71%, Boiling point of -108 degrees C. Which of the following is most correct?",https://i.imgur.com/84FNGNY.png,This agent is less volatile than Sevoflurane,This agent has no analgesic properties,This agent is less potent than Nitrous Oxide,This agent is less cardiovascularly stable than Sevoflurane,This agent has a faster onset than Nitrous Oxide,"This agent is Xenon, which is a potential volatile anaesthetic agent rarely used in clinical practice due to it's high cost of production. Xenon has a fast onset and is very cardiovascularly stable. The MAC of 71% makes it more potent than Nitrous Oxide but less potent than any other anaesthetic gas. The very low blood:gas partition coefficient means that it's onset and offset are faster than any other volatile agent.",This agent has a faster onset than Nitrous Oxide,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Volatiles 2,A 25 year old male is being anaesthetised for a laparoscopic appendicectomy and maintained on sevoflurane. The end tidal sevoflurane is 2.1 with a Fresh gas glow of 1 Litre/min and a % setting on the vaporiser of 4.5. on initial incision of the abdomen the heart rate increased from 60 to 125 and the blood pressure increases from 80/50 to 145/85. What is the quickest way to increase depth of anaesthesia?,,Increase the tidal volume,Increase Fresh Gas Flow(FGF) to 8 L/min,Increase the respiratory rate,Increase percentage of sevoflurane on the dial of the sevoflurane vaporiser,Administer morphine 5mg IV,"The quickest way to increase the depth of anaesthesia is to increase the fresh gas flow to 8 L/min. This will increase the inspired Sevoflurane concentration in the quickest way. The only other way of increasing depth quickly would be to give a bolus of IV induction agent e.g. propofol but this is not an option. All of the other options would take too long to deepen anaesthesia, if at all.",Increase Fresh Gas Flow(FGF) to 8 L/min,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Volatiles 3,Regarding volatile agents and vaporisers:,https://i.imgur.com/8GinKnJ.jpg,Gas leaves the vaporising chamber at roughly 50% of it's SVP.,The splitting ratio is the ratio of liquid and vapour of volatile agent in the vapourisation chamber,The SVP of Sevoflurane at 20 degrees Celsius is 2.2,"As temperature increases, the SVP of a substance increases in an exponential way",Wicks and baffles reduce the surface area within the vaporisation chamber,The  SVP of a substance increases in an exponential  fashion as the temperature rises. Gas leaves the vaporisation chamber at 100% of it's SVP because of the high surface area due to the wicks and baffles. The concentration of gas at it's SVP  will be too high to be administered to patients directly so it is mixed  with the fresh gas flow that was split from the vaporisation chamber according to the splitting ratio. The SVP of sevoflurane at 20 degrees Celsius is 20%,The SVP of a substance increases in a non-proportional way,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Volatiles 4,Desflurane is administered to patients using a Tec 6 vapouriser. What is the difference between a sevoflurane and desflurane vapouriser?,,A desflurane vapouriser requires a heater to ensure the SVP remains constant,The sevoflurane vapouriser must be plugged in to mains electricity,A sevoflurane vapouriser requires a heating element to maintain a constant SVP,The desflurane vapouriser does not need to be adjusted at altitude,A desflurane vaporiser requires a lead heat sink to maintain a low temperature,The Desflurane vaporiser (initially Tec 6) requires a heating pump and must be plugged in to mains electricity in order to heat desflurane to 39 degrees celcius which increases its saturated vapour pressure to 194 kPa. This is because the boiling point of desflurane is 23.5 so if the vaporiser were to be kept at room temperature the SVP of desflurane would change too much to allow controlled administration of constant concentrations.,A desflurane vapouriser requires a heater to ensure the SVP remains constant,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Volatiles 5,You are anaesthetising a morbidly obese patient and you are concerned about choosing the right drug for maintenance of anaesthesia. Which volatile agent has will have the shortest  offset time?,https://i.imgur.com/0VVvUn0.jpg,Isoflurane,Sevoflurane,Enflurane,Desflurane,Halothane,Desflurane has a lower oil:gas partition coefficient than the others so it is poorly lipid soluble. This means that it is much less potent than the other agents so a higher partial pressure is required for anaesthesia. The MAC of Desflurane is higher than the other agents as a consequence. The benefit of the lower lipid solubility is that it has a much quicker offset time.,Desflurane,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Volatiles 6,You are due to anaesthetise a 6 year old for a MUA elbow. Your consultant has decided to do a gas induction. Which gas is most appropriate for a gas induction of anaesthesia?,https://i.imgur.com/84FNGNY.png,Desflurane,Nitrous Oxide,Halothane,Sevoflurane,Isoflurane,"Sevoflurane has multiple properties that make it favourable for gas induction of children. It has a reasonably fast onset time, it is non-irritant and non pungent. Nitrous oxide also has these qualities but is much less potent so not able to induce general  anaesthesia alone in this situation. Desflurane is irritant and can cause coughing and laryngospasm. ",Sevoflurane,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Volatiles 7,Volatile anaesthetic agent potency can be measured by the minimum alveolar concentration (MAC). What factors increase the MAC?,https://i.imgur.com/0VVvUn0.jpg,Hypoxaemia,Hyponatraemia,Pregnancy,Hyperthermia,Anaemia,"The MAC is increased in hyperthermia and hypernatraemia. The factors that reduce the MAC are: pregnancy, hypoxia, anaemia, sedative medications or any condition reducing consciousness.",Hyperthermia,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Volatiles 8,What causes increased formation of compound A from sevoflurane maintenance anaesthesia?,,High temperature,Low Fresh Gas Flow,High active humidification,Soda lime ,Dehydration of soda lime,Compound A is a waste product of sevoflurane with warm soda lime which is of no clinical significance. It is most likely to form due to low fresh gas flows. The in vitro concern was because compound A causes nephrotoxicity in rats in high concentrations. ,Low Fresh Gas Flow,TRUE,FALSE,FALSE
